ID;CAPACIDAD;TIPO;DOTACION;PRECIONOCHE;CONSUMOEXTRA;HOTELID;RESERVAID;USUARIOID;SERVICIOCONSUMOID
1;3;apartment;Towels;250;735;339;43741;927;38705
2;10;single;Coffee maker;405;150;639;6559;47745;16235
3;3;suite;Hangers;350;174;400;45559;49767;32369
4;13;studio;Coffee maker;970;587;238;39198;38316;47508
5;11;studio;Hairdryer;524;127;754;25436;21092;37518
6;6;single;Pillows;889;352;493;22390;3980;40636
7;4;cottage;Hangers;702;807;94;14341;22984;22674
8;9;penthouse;Pillows;429;150;915;27241;29468;444
9;2;double;Mini fridge;785;986;198;14068;33089;25793
10;1;studio;Safe box;564;797;898;23394;27332;13963
11;11;twin;Toiletries;865;789;656;27806;2442;8720
12;2;studio;Safe box;209;563;351;47632;2036;46632
13;14;apartment;Blankets;933;663;402;6471;47780;46113
14;13;penthouse;Toiletries;885;187;441;19772;17181;42550
15;10;twin;Safe box;132;10;289;17863;12104;12761
16;11;loft;Mini fridge;553;439;110;29503;48825;4376
17;15;studio;Safe box;536;439;221;10632;40191;17357
18;10;suite;Safe box;626;195;452;42708;39496;49356
19;7;double;Coffee maker;257;245;474;27426;29615;4576
20;7;penthouse;Pillows;15;811;771;28359;17057;945
21;13;double;Hangers;609;66;198;29752;39380;33065
22;10;studio;Pillows;341;612;15;7667;36718;7110
23;13;cottage;Bed sheets;724;364;37;41287;35522;24456
24;1;double;Toiletries;365;573;460;4435;37526;9048
25;3;single;Towels;673;781;87;28824;25687;44524
26;13;apartment;Blankets;934;914;352;8807;20247;45604
27;1;bungalow;Hairdryer;54;613;174;9847;14055;37528
28;13;penthouse;Hairdryer;736;746;70;35925;23699;7638
29;12;suite;Bed sheets;377;636;610;13565;1178;27600
30;6;loft;Bed sheets;847;827;819;29854;28359;6529
31;9;twin;Coffee maker;997;860;236;33978;38989;37663
32;7;single;Blankets;695;876;156;35820;18173;11645
33;3;cottage;Towels;961;60;613;25818;31642;7031
34;6;double;Coffee maker;449;751;888;30516;22990;39935
35;1;penthouse;Safe box;530;959;218;36176;12913;21450
36;2;studio;Pillows;225;885;686;197;44912;37771
37;12;studio;Hangers;662;42;540;8243;5783;43796
38;2;apartment;Coffee maker;776;574;554;11102;39523;24401
39;5;apartment;Safe box;275;598;821;26619;17696;4787
40;12;suite;Bed sheets;842;105;721;47767;37846;3069
41;2;loft;Toiletries;606;486;228;16268;28868;32467
42;14;double;Mini fridge;399;13;625;22916;19131;1200
43;2;cottage;Towels;443;425;206;31074;18111;24327
44;11;cottage;Toiletries;561;32;490;29211;41392;11284
45;7;suite;Pillows;27;368;892;32741;44014;31694
46;6;studio;Hairdryer;261;420;287;946;11001;34660
47;11;studio;Hangers;683;487;5;16321;41237;34869
48;1;single;Hairdryer;51;446;665;27564;1856;23989
49;1;studio;Hairdryer;863;394;433;13620;596;2229
50;10;single;Hairdryer;308;156;286;47333;45766;32579
51;2;loft;Hangers;148;806;914;48681;5576;44840
52;12;twin;Pillows;389;494;454;48102;49315;36530
53;11;penthouse;Towels;131;119;204;2714;37698;25455
54;10;loft;Towels;144;280;476;22714;2405;15468
55;11;cottage;Mini fridge;153;639;867;47217;34889;32432
56;4;apartment;Blankets;572;634;387;32120;22524;14405
57;7;double;Blankets;764;321;399;36792;19847;24905
58;3;apartment;Mini fridge;538;711;883;4053;43863;21594
59;15;suite;Safe box;664;748;819;43836;14010;11444
60;12;twin;Blankets;226;269;1;26367;25601;34971
61;4;loft;Hairdryer;776;975;927;43966;47690;44664
62;8;single;Mini fridge;535;628;795;37048;24896;15594
63;6;cottage;Pillows;56;718;488;19;33399;48393
64;11;apartment;Safe box;706;25;920;18527;21483;17568
65;9;twin;Mini fridge;728;123;202;10512;1468;45249
66;2;cottage;Toiletries;204;839;343;5398;45104;7530
67;11;double;Blankets;67;29;823;47927;32432;38155
68;1;apartment;Safe box;666;813;736;40326;41080;38322
69;7;twin;Bed sheets;380;894;240;6364;4793;41826
70;7;suite;Coffee maker;509;758;92;7353;10985;32391
71;6;studio;Bed sheets;885;914;778;15495;25043;5402
72;13;apartment;Hangers;242;780;188;20507;6418;1982
73;11;studio;Toiletries;975;566;726;14915;34108;24855
74;11;suite;Mini fridge;499;211;842;28597;36910;21370
75;4;twin;Toiletries;644;528;159;2726;6494;8033
76;3;studio;Safe box;975;320;647;33891;42995;32869
77;14;apartment;Towels;122;26;669;40376;10934;36478
78;7;twin;Bed sheets;480;173;747;21217;35172;36680
79;5;apartment;Mini fridge;452;597;79;1758;37164;18665
80;1;twin;Mini fridge;369;389;986;22531;31182;2283
81;8;double;Blankets;537;997;576;1451;1402;28187
82;9;penthouse;Hairdryer;273;393;627;5783;31414;1167
83;4;studio;Towels;829;459;249;37259;42561;1084
84;9;penthouse;Towels;798;502;19;34823;11659;37947
85;5;apartment;Hairdryer;179;371;317;43838;29830;3665
86;10;double;Towels;74;945;242;3148;6019;22076
87;15;suite;Hangers;77;4;444;37672;49363;41330
88;2;loft;Pillows;500;627;584;37698;35161;15731
89;10;bungalow;Blankets;490;228;899;25537;30157;33680
90;11;cottage;Hangers;183;615;462;35023;8029;16059
91;12;apartment;Mini fridge;900;676;918;4718;18810;5509
92;7;loft;Coffee maker;423;617;75;31096;38436;36290
93;2;apartment;Towels;444;586;276;18012;19726;26228
94;11;cottage;Toiletries;476;451;872;16095;13583;15638
95;5;studio;Hangers;427;736;105;1225;9366;236
96;13;single;Towels;404;454;821;29317;39539;1800
97;2;loft;Hangers;550;926;721;28555;47865;48642
98;8;single;Safe box;800;31;749;46117;25071;5348
99;14;penthouse;Coffee maker;693;820;406;43077;12150;38739
100;8;suite;Blankets;142;753;789;24534;7931;43302
101;10;loft;Safe box;428;998;48;33382;39051;23786
102;11;apartment;Pillows;791;920;678;3827;48142;9084
103;4;cottage;Hairdryer;41;134;409;47415;36554;27277
104;11;cottage;Hangers;396;826;392;20646;46985;30144
105;14;cottage;Blankets;930;579;218;25592;43514;11026
106;15;suite;Blankets;789;509;923;42693;41651;28944
107;7;double;Towels;979;991;151;31328;20986;12343
