ID;COSTO;NOMBRE
1;58863;Pantalones cortos
2;33527;Bolso de mano
3;8763;Botas
4;62119;Blusa
5;65268;Blazer
6;66635;Cinturón
7;68037;Bufanda
8;54450;Traje de gala
9;44590;Chándal
10;25800;Calcetines
11;25739;Vestido de noche
12;10821;Camiseta
13;865;Vestido
14;74464;Bufanda
15;60282;Pijama
16;46043;Camiseta
17;28313;Blazer
18;31590;Collar
19;42831;Chándal
20;42210;Bufanda
21;37981;Traje de gala
22;41555;Chaqueta
23;88928;Chándal
24;52187;Sandalias
25;65595;Pijama de seda
26;68849;Pijama de seda
27;21661;Chaleco
28;51436;Traje de baño
29;43351;Bañador
30;30710;Bañador
31;23954;Traje de gala
32;34506;Chaleco
33;99885;Pulsera
34;96082;Anillo
35;87382;Traje de gala
36;10657;Pantalones cortos
37;46956;Zapatillas
38;84453;Vestido de noche
39;47763;Blazer
40;88459;Zapatos
41;78870;Gafas de sol
42;30268;Maleta
43;89415;Zapatos
44;45691;Traje de baño
45;84323;Sombrero
46;78071;Chaleco de punto
47;93499;Pantalones cortos
48;77916;Sujetador
49;8818;Zapatillas
50;46744;Bolso de mano
51;98236;Guantes
52;37665;Blusa
53;84968;Botas
54;58524;Vestido
55;10703;Pulsera
56;63596;Gafas de lectura
57;31416;Falda
58;72478;Calzoncillos
59;3658;Calcetines
60;32876;Bufanda
61;10871;Pantalón
62;96641;Zapatos
63;55771;Blazer
64;17213;Vestido de noche
65;32559;Shorts
66;36204;Sudadera
67;30558;Chándal
68;59636;Camiseta
69;93206;Collar
70;69724;Sudadera
71;76740;Calzoncillos
72;56858;Camiseta
73;39887;Pantalón
74;99476;Maleta
75;24735;Zapatos
76;62981;Blusa
77;20428;Sandalias
78;87113;Paraguas
79;26266;Pantalones cortos
80;4715;Bañador
81;1247;Pantalones cortos
82;73423;Bañador
83;72325;Sandalias
84;66265;Traje de gala
85;80118;Bolso
86;95627;Bolso de mano
87;31800;Falda
88;26229;Pantalón
89;6128;Maleta
90;15874;Zapatos
91;81903;Mochila
92;4198;Bolso
93;5840;Bufanda
94;70070;Chándal
95;16550;Bolso de mano
96;70613;Calzoncillos
97;97565;Abrigo
98;3151;Pantalones cortos
99;50933;Sandalias
100;35902;Bañador
101;89158;Chaleco de punto
102;68787;Gafas de sol
103;74747;Paraguas
104;91188;Billetera
105;36395;Vestido
106;98205;Gorra
107;38603;Paraguas
108;7360;Sujetador
109;80745;Sombrero
110;67280;Reloj
111;62625;Gorra
112;23417;Pantalón
113;48849;Anillo
114;22183;Camiseta
115;61485;Chaqueta
116;35789;Gafas de sol
117;12409;Zapatillas
118;91169;Blusa
119;46759;Collar
120;18426;Zapatos
121;56019;Vestido
122;48967;Botas
123;50179;Camisa
124;25198;Chaleco
125;60242;Zapatillas
126;22923;Abrigo
127;21526;Guantes
128;48563;Gafas de lectura
129;39339;Cinturón
130;43812;Camisa
131;1640;Blusa
132;68349;Vestido de noche
133;19310;Sombrero
134;68549;Camiseta
135;81995;Camisa
136;3444;Paraguas
137;62928;Falda
138;45342;Gafas de sol
139;37558;Pantalones cortos
140;36498;Bolso de mano
141;24235;Blazer
142;19084;Chaqueta
143;49837;Abrigo
144;34157;Collar
145;70252;Jersey
146;20972;Pijama de seda
147;95010;Chaleco
148;40744;Sujetador
149;37940;Anillo
150;45760;Reloj
151;56067;Shorts
152;57805;Mochila
153;57240;Calcetines
154;71931;Mochila
155;71882;Vestido de noche
156;87350;Pantalones cortos
157;87732;Falda
158;49194;Reloj
159;28970;Camisa
160;41431;Reloj
161;60746;Mochila
162;76914;Bufanda
163;41683;Pijama
164;22257;Zapatillas
165;35489;Pantalones cortos
166;65260;Blazer
167;9388;Mochila
168;25346;Tacones
169;54365;Bañador
170;12806;Blusa
171;11943;Chaleco
172;18870;Billetera
173;10530;Billetera
174;25378;Mochila
175;85885;Sombrero
176;45173;Collar
177;59411;Bikini
178;23978;Anillo
179;26931;Blusa
180;46927;Bolso de mano
181;39342;Sudadera
182;2807;Maleta
183;26542;Bikini
184;68107;Chaleco
185;71669;Traje de baño
186;36781;Falda
187;64369;Gorra
188;96121;Pantalón
189;69652;Pulsera
190;60461;Bufanda
191;32389;Chándal
192;94372;Tacones
193;53959;Bufanda
194;65445;Bikini
195;46992;Bañador
196;37153;Traje de baño
197;98359;Gafas de sol
198;2932;Paraguas
199;68618;Cinturón
200;74184;Paraguas
201;92287;Camiseta
202;51136;Gorro
203;38938;Vestido de noche
204;93694;Zapatos
205;5200;Paraguas
206;59249;Mochila
207;60698;Vestido
208;58663;Zapatos
209;75813;Chaqueta
210;719;Jersey
211;8687;Falda
212;21664;Sandalias
213;62029;Traje de baño
214;51729;Sujetador
215;60027;Pantalón
216;100000;Billetera
217;97443;Camiseta
218;77966;Traje de baño
219;70000;Tacones
220;94498;Shorts
221;66893;Anillo
222;79263;Anillo
223;37372;Guantes
224;85461;Bufanda
225;6517;Gorra
226;40036;Collar
227;31183;Reloj
228;72997;Gorro
229;16175;Pulsera
230;43104;Pijama de seda
231;63572;Bufanda
232;33426;Mochila
233;5048;Tacones
234;15206;Paraguas
235;23216;Vestido
236;85465;Bolso de mano
237;40289;Tacones
238;21760;Blusa
239;35879;Bikini
240;71304;Bolso de mano
241;19168;Collar
242;25281;Pijama
243;38385;Pijama de seda
244;60443;Paraguas
245;29508;Camisa
246;40556;Vestido de noche
247;46454;Chándal
248;85683;Bolso
249;74362;Shorts
250;23789;Chándal
251;57160;Tacones
252;75889;Chaleco de punto
253;72701;Vestido
254;45274;Camisa
255;51782;Pantalones cortos
256;35088;Camisa
257;56102;Bañador
258;32612;Zapatillas
259;17507;Bañador
260;27510;Gorro
261;97265;Bufanda
262;91734;Chándal
263;48023;Pulsera
264;60752;Mochila
265;21917;Tacones
266;5267;Sudadera
267;12409;Vestido de noche
268;83746;Pantalón
269;25177;Camiseta
270;50844;Gorra
271;81338;Collar
272;45754;Camiseta
273;80413;Gafas de sol
274;87656;Camisa
275;57163;Chaqueta
276;98844;Calzoncillos
277;13894;Paraguas
278;90120;Traje de baño
279;30925;Bolso
280;44431;Mochila
281;7108;Pantalones cortos
282;61979;Pijama de seda
283;17603;Vestido
284;88185;Camisa
285;90046;Sandalias
286;46946;Cartera
287;83718;Sandalias
288;71718;Pantalones cortos
289;85193;Pantalones cortos
290;83211;Maleta
291;99486;Bikini
292;93124;Sudadera
293;87639;Calcetines
294;75838;Chaleco de punto
295;35202;Anillo
296;1070;Blusa
297;63196;Tacones
298;77919;Bañador
299;60772;Gorro
300;18667;Guantes
301;67707;Blusa
302;41606;Pantalones cortos
303;16308;Vestido
304;14716;Gafas de lectura
305;62604;Collar
306;9149;Shorts
307;52656;Maleta
308;58237;Jersey
309;49351;Gafas de lectura
310;99925;Pantalones cortos
311;11797;Camisa
312;86266;Maleta
313;24293;Falda
314;70384;Maleta
315;61089;Paraguas
316;10061;Gafas de sol
317;36346;Blazer
318;26260;Sandalias
319;83714;Camiseta
320;49052;Zapatos
321;42412;Calcetines
322;70885;Pulsera
323;22726;Tacones
324;62290;Pantalones cortos
325;37894;Chaleco
326;79899;Abrigo
327;72096;Camisa
